"","V4","total"
"235","@bluebluwhale",54385
"236","@tevonblair",54187
"237","@RexChapman",54167
"238","@thinkpositiveal",54139
"239","@duttypaul",54056
"240","@ProjectJosiee",54055
"241","@TheRealHazz",53495
"242","@mintitapreview",53475
"243","@adazzlinhaze",53378
"244","@jordanklepper",53108
"245","@ampizzzle",52398
"246","@slothanova",52397
"247","@KatlynMarie06",52259
"248","@Heavenlyxoxo",52056
"249","@addien90",52033
"250","@lylaconni",52026
"251","@thebklynvillain",51758
"252","@wizkidayo",51688
"253","@TuckerCarlson",51520
"254","@firstgentleman",51433
"255","@liamdunne",51071
"256","@dougmar",51025
"257","@mmpadellan",51004
"258","@atrupar",50935
"259","@GEMINI",50930
"260","@th0tcouture",50867
"261","@lincnotfound",50748
"262","@notjoss",50115
"263","@quincyhicks",50053
"264","@iamelmars",49940
"265","@nickteeev",49748
"266","@Sphiamia",49652
"267","@ray14man",49590
"268","@briantylercohen",49311
"269","@b20e",49014
"270","@realhomomarcus",48914
"271","@jreganwilliams",48855
"272","@bobabiss",48826
"273","@pfizer",48727
"274","@masonthisis",48718
"275","@IngrahamAngle",48296
"276","@barackobama",48217
"277","@nanaicez",48052
"278","@7eandra",47966
"279","@jbrous41",47736
"280","@tinnkky",47683
"281","@OlaTinee",47417
"282","@AsiaChloeBrown",47409
"283","@bladehalll",47343
"284","@venieshaaa",47141
"285","@60Minutes",46811
"286","@maiwarit",46799
"287","@keepoffgrass",46607
"288","@davew97",46548
"289","@VONN3K",46503
"290","@billiebelieves",45968
"291","@layc04",45851
"292","@phatchara3",45803
"293","@LWTPOLAROlD",45799
"294","@micahhsic",45787
"295","@herosnvrdie69",45699
"296","@renanbernardo",45588
"297","@bluskyz",45567
"298","@FirstTryKai",45238
"299","@chrislhayes",45120
"300","@superm",45013
"301","@florsles",45010
"302","@baabyyast",44784
"303","@SHNDY1312",44485
"304","@wangseaver",44447
"305","@carrothusband",44415
"306","@melhuman",44359
"307","@teaxtarot",44267
"308","@giphxyz",44153
"309","@Carlos4PF",44046
"310","@jordanzakarin",43894
"311","@lsabelladani",43779
"312","@wirojlak",43588
"313","@ItsJustShay",43534
"314","@mamamapounds",43322
"315","@NickHintonn",43276
"316","@joncoopertweets",43032
"317","@morekimo",42827
"318","@chloedontsurf",42641
"319","@mothcharm",42615
"320","@youniqsy",42454
"321","@peachyblackg0rl",42402
"322","@lavendernvelv",42388
"323","@rebekkarnold",42371
"324","@sahelhaque",42361
"325","@EmeraldRobinson",42249
"326","@lois0112",42164
"327","@choibts2",42152
"328","@menumpahkan",42061
"329","@jessismoree",42037
"330","@warofthesuburbs",42023
"331","@maipham",42014
"332","@seattlepd",41988
"333","@briitogabiis",41938
"334","@rollingstone",41896
"335","@Mexaa",41720
"336","@itsJeffTiedrich",41678
"337","@ROSNALJU",41676
"338","@jjamz",41534
"339","@BELIFTLAB",41492
"340","@larissegg",41437
"341","@Iyanii",41335
"342","@kiiingkrystal",41141
"343","@jenniferatntd",41134
"344","@bettywinnn",41060
"345","@damsuran",40935
"346","@Muktab",40864
"347","@EnzDeQuay",40858
"348","@NlAMHMEALONE",40847
"349","@priteshgandhimd",40715
"350","@eliseannelee",40710
"351","@wyabritt",40691
"352","@pompomcoffee",40676
"353","@peachcrisis",40523
"354","@thoughtgrime",40502
"355","@sarahlostctrl",40461
"356","@ongbiscuit",40421
"357","@petebuttigieg",40396
"358","@a5k1p9",40348
"359","@josstheboss",40207
"360","@callumtwalker",40206
"361","@JupiterDreamCo",40117
"362","@DarienAlexis3",40068
"363","@stayfrea",40061
"364","@GRAMMYMuseum",39955
"365","@SpookyAnarchist",39925
"366","@srinivasiyc",39910
"367","@IamAfrodisiac",39831
"368","@skzlovs",39772
"369","@metalgearobama",39702
"370","@badmamiiiii",39544
"371","@stridinstrider",39511
"372","@angeverafter",39462
"373","@tejasvisurya",39416
"374","@deadeyebrakeman",39314
"375","@katiejanee",39218
"376","@dentbear",39137
"377","@bernalalala",39104
"378","@megswifelife",39069
"379","@arrozconitalia",38948
"380","@gellowgene",38855
"381","@lindsaydemeola",38827
"382","@Sp00kyMeadow",38764
"383","@Narrissaa",38752
"384","@bessbell",38703
"385","@kyliesparks",38368
"386","@iamsashakae",38253
"387","@rapmca",38253
"388","@BrettMau5",38246
"389","@patfanelli",38168
"390","@EduMinOfIndia",38154
"391","@berryela",38130
"392","@rhysblakely",38113
"393","@ENHYPENmembers",37962
"394","@b",37919
"395","@tedcruz",37898
"396","@donmoyn",37804
"397","@travon",37779
"398","@meloniturralde",37704
"399","@kirstiealley",37682
"400","@W",37674
"401","@Mippcivzla",37563
"402","@yogrishiramdev",37510
"403","@pectumz",37431
"404","@ynsnbbb",37365
"405","@auronplay",37282
"406","@cdcgov",37258
"407","@fbgwayne",37215
"408","@202natt",37152
"409","@thesarahkelly",37125
"410","@mvictoria422",37087
"411","@GutsGlamGlory",36964
"412","@scriptsbyjames",36956
"413","@JhendersonJames",36851
"414","@jackpilled",36823
"415","@SolomonPuryear",36749
"416","@actorsiddharth",36719
"417","@proustmalone",36703
"418","@lilbarbx2",36575
"419","@maddieevelasco",36560
"420","@tonyhawk",36551
"421","@JasmynBeKnowing",36518
"422","@wumbooty",36464
"423","@mohammadhussain",36423
"424","@mpsomerstein",36401
"425","@SenorGuapo",36372
"426","@UnkleK",36355
"427","@incredibleculk",36332
"428","@abcdrih",36183
"429","@kayleighmcenany",36155
"430","@SirMowwz",36122
"431","@derasachasauda",36016
"432","@smirhnn",35999
"433","@TristanTaylor88",35841
"434","@TheresaChapple",35767
"435","@lisalibrarian",35755
"436","@lilmsawkward",35739
"437","@chismosa",35685
"438","@sirotek",35618
"439","@imrankhanpti",35557
"440","@BeeGilly",35543
"441","@akilindo",35511
"442","@vanxessan",35493
"443","@danteswift",35407
"444","@jenhajcak",35397
"445","@lalups",35368
"446","@NapsPartTime",35285
"447","@MateoMontana",35261
"448","@DALIZZZL",35257
"449","@LoveAndShalom",35210
"450","@plixx",35094
"451","@careeselaroque",35035
"452","@tommobaess",34991
"453","@mrgingerbed",34981
"454","@ximenaxmartinez",34901
"455","@f0lake",34869
"456","@marklevinshow",34868
"457","@GrahamBrookie",34866
"458","@nicolesays",34853
"459","@cosmicblackgirl",34802
"460","@keifyb",34699
"461","@betoorourke",34328
"462","@piersmorgan",34206
"463","@rileybehrens",34146
"464","@p1tchf0rkred",34133
"465","@alluarjun",34121
"466","@RepAdamSchiff",34115
"467","@EyePatchGuy",34070
"468","@imigrvnt",34027
"469","@svenantifacat",34027
"470","@hydratedangel",34000
"471","@asaplocky",33910
"472","@NathanLerner",33675
